date_local,site_num,co_mean,hap_mean,lead_mean,o2_mean,o3_mean,t_mean
2019-09-30,8001,0.265917,0.45,0.004,12.25,0.028940999999999998,61.879166999999995
2018-10-17,1002,0.41666699999999995,0.0,0.010700000000000001,24.352173999999998,0.026588,64.954167
2018-09-23,1022,0.25,1.0,0.0031000000000000003,4.0,0.044500000000000005,70.333333
2019-04-27,8001,0.225,1.8,0.004,6.858333,0.042470999999999995,62.129166999999995
2018-02-19,8001,0.329167,0.0,0.004,5.6625000000000005,0.028176,49.775000000000006
2019-03-10,8001,0.270833,0.00857,0.002,8.545833,0.028471,50.7625
2018-08-06,1103,0.445833,0.051000000000000004,0.009859999999999999,21.641666999999998,0.033235,81.383333
2019-05-21,1103,0.16666699999999998,1.2,0.005,9.108333,0.028117999999999997,61.104167
2018-06-19,0011,0.17987499999999998,0.1,0.0035399999999999997,4.673913,0.045412,80.30833299999999
2019-01-15,8001,0.345833,0.0,0.001,16.9,0.026764999999999997,52.133333
2019-05-21,0006,0.11800000000000001,0.0,0.0,0.863636,0.032764999999999996,57.666667
2019-04-03,1103,0.245833,0.04,0.00432,9.245833,0.020294,60.504166999999995
2018-08-30,0011,0.211083,1.8,0.00311,4.034783,0.046235,73.12083299999999
2019-07-14,1103,0.266667,0.0,0.006,7.816667,0.033,72.25
2019-05-09,0008,0.191348,0.0,0.00296,4.9695649999999993,0.038294,72.470833
2018-03-21,1022,0.32777799999999996,0.011779999999999999,0.0042899999999999995,10.714286,0.042214,66.0
2019-01-21,8001,0.19583299999999998,0.0,0.002,9.6916669999999989,0.026882,55.241667
2018-11-10,8001,0.497208,0.0,0.011000000000000001,25.8625,0.023353,60.075
2018-03-27,0011,0.300958,0.0,0.0022199999999999998,11.804348,0.029882,57.041667
2018-03-03,1002,0.20130399999999998,0.0,0.00065,13.156521999999999,0.023646999999999998,44.7
2019-06-14,8001,0.147792,0.0,0.004,6.329167,0.040471,67.162500000000009
2019-04-15,1103,0.354167,0.08,0.0108,14.4375,0.032588,58.962500000000006
2018-07-01,1103,0.108333,1.8,0.003,6.2,0.034412,70.0125
2018-07-13,8001,0.2,0.8,0.005,10.020833,0.039646999999999995,81.508333
2018-02-19,1103,0.2,0.0,0.0094,4.216667,0.037353,52.141667
2018-02-07,0008,0.401522,0.1,0.00373,13.295651999999999,0.014823999999999999,56.7875
2018-05-26,1103,0.220833,0.02,0.004,8.775,0.027705999999999998,63.15
2019-11-17,0005,0.69166699999999992,0.113,0.011600000000000001,22.718182,0.018118,60.208332999999996
2019-07-08,0008,0.149957,0.0,0.00171,3.5565219999999997,0.034294,72.829167
2019-08-19,8001,0.254167,0.004,0.005,8.654167,0.040118,74.895833
2019-04-27,8001,0.225,0.002,0.004,6.858333,0.042470999999999995,62.129166999999995
2019-02-26,8001,0.458333,2.4,0.007,19.329166999999998,0.034941,55.754166999999995
2018-02-19,1022,0.17618999999999999,-0.001,0.0019299999999999999,0.666667,0.042692,53.541667
2019-09-30,1002,0.133333,0.0,0.00603,7.7391299999999994,0.025353,60.083332999999996
2019-09-30,0011,0.15,0.45,0.00298,2.0130429999999997,0.033176,60.320833
2019-04-09,8001,0.375,0.007,0.006,17.175,0.041881999999999996,66.65
2018-10-23,1103,0.5,0.08,0.008,19.694444,0.010909,66.325
2019-02-02,1103,0.245833,0.0,0.00065,10.229167,0.024118,54.2
2019-09-18,1103,0.4,0.0,0.0073799999999999994,17.985713999999998,0.021615,71.72916699999999
2018-07-13,0008,0.287522,1.35,0.00266,8.213042999999999,0.029117999999999998,81.795833
2018-02-19,1103,0.2,0.5,0.008,4.216667,0.037353,52.141667
2019-10-24,8001,0.121667,0.4,0.006,7.629167,0.030352999999999998,82.320833
2018-01-26,1103,0.6,2.2,0.008,26.766666999999998,0.015529,55.366667
2019-07-02,8001,0.217917,3.2,0.004,9.9416669999999989,0.048706,74.975000000000009
2018-12-16,8001,0.666667,0.0,0.008,24.150000000000002,0.014528999999999999,57.425000000000004
2018-07-13,8001,0.2,0.011000000000000001,0.005,10.020833,0.039646999999999995,81.508333
2019-03-22,1002,0.244522,0.0229,0.00492,15.752174,0.022293999999999998,53.945833
2019-04-21,1103,0.168421,0.12,0.003,6.4666669999999993,0.032471,60.683333
2018-02-19,1103,0.154167,0.0,0.0094,4.216667,0.037353,52.141667
2019-08-13,1103,0.3,0.152,0.016,13.482353,0.022917,72.079167
